PassengerId,Survived,Ticket
1,0,A/5 21171
520,0,349242
522,0,349252
523,0,2624
525,0,2700
526,0,367232
528,0,PC 17483
529,0,3101296
530,0,29104
532,0,2641
533,0,2690
535,0,315084
537,0,113050
539,0,364498
542,0,347082
543,0,347082
545,0,PC 17761
546,0,693
518,0,371110
549,0,363291
516,0,36967
512,0,SOTON/OQ 3101316
488,0,11771
489,0,A.5. 18509
491,0,65304
492,0,SOTON/OQ 3101317
493,0,113787
494,0,PC 17609
495,0,A/4 45380
496,0,2627
498,0,C.A. 6212
499,0,113781
500,0,350035
501,0,315086
502,0,364846
503,0,330909
504,0,4135
506,0,PC 17758
509,0,C 4001
515,0,349209
552,0,244358
553,0,330979
556,0,113807
595,0,SC/AH 29037
596,0,345773
598,0,LINE
599,0,2664
602,0,349214
603,0,113796
604,0,364511
606,0,349910
607,0,349246
611,0,347082
612,0,SOTON/O.Q. 3101305
614,0,370377
615,0,364512
617,0,347080
618,0,A/5. 3336
620,0,31028
621,0,2659
594,0,364848
593,0,A/5 3902
591,0,STON/O 2. 3101273
590,0,A./5. 3235
558,0,PC 17757
561,0,372622
562,0,349251
563,0,218629
564,0,SOTON/OQ 392082
565,0,SOTON/O.Q. 392087
566,0,A/4 48871
567,0,349205
486,0,4133
568,0,349909
575,0,A/4. 20589
576,0,358585
579,0,2689
583,0,28403
584,0,13049
585,0,3411
587,0,237565
589,0,14973
569,0,2686
624,0,350029
483,0,A/5 3594
481,0,CA 2144
380,0,347069
383,0,STON/O 2. 3101293
385,0,349227
386,0,S.O.C. 14879
387,0,CA 2144
389,0,367655
393,0,3101277
396,0,350052
397,0,350407
398,0,28403
399,0,244278
402,0,341826
403,0,4137
404,0,STON/O2. 3101279
405,0,315096
406,0,28664
407,0,347064
379,0,2648
409,0,312992
378,0,113503
374,0,PC 17760
345,0,229236
350,0,315088
351,0,7267
352,0,113510
353,0,2695
354,0,349237
355,0,2647
356,0,345783
358,0,237671
361,0,347088
362,0,SC/PARIS 2167
363,0,2691
364,0,SOTON/O.Q. 3101310
365,0,370365
366,0,C 7076
372,0,3101267
373,0,323951
375,0,349909
410,0,4133
411,0,349222
412,0,394140
457,0,13509
460,0,371060
462,0,364506
463,0,111320
464,0,234360
465,0,A/S 2816
466,0,SOTON/O.Q. 3101306
467,0,239853
468,0,113792
469,0,36209
471,0,323592
472,0,315089
475,0,7553
476,0,110465
477,0,31027
478,0,3460
479,0,350060
455,0,A/5 2817
453,0,113051
452,0,65303
451,0,C.A. 34651
414,0,239853
416,0,343095
419,0,28228
420,0,345773
421,0,349254
422,0,A/5. 13032
423,0,315082
424,0,347080
482,0,239854
425,0,370129
429,0,364851
434,0,STON/O 2. 3101274
435,0,13507
437,0,W./C. 6608
439,0,19950
440,0,C.A. 18723
442,0,345769
443,0,347076
426,0,A/4. 34244
625,0,54636
626,0,36963
627,0,219533
795,0,349203
796,0,28213
799,0,2685
800,0,345773
801,0,250647
806,0,347063
807,0,112050
808,0,347087
809,0,248723
811,0,3474
812,0,A/4 48871
813,0,28206
814,0,347082
815,0,364499
816,0,112058
817,0,STON/O2. 3101290
818,0,S.C./PARIS 2079
794,0,PC 17600
819,0,C 7075
793,0,CA. 2343
791,0,12460
767,0,112379
768,0,364850
769,0,371110
770,0,8471
771,0,345781
772,0,350047
773,0,S.O./P.P. 3
774,0,2674
776,0,347078
777,0,383121
779,0,36865
783,0,113501
784,0,W./C. 6607
785,0,SOTON/O.Q. 3101312
786,0,374887
788,0,382652
790,0,PC 17593
792,0,239865
820,0,347088
823,0,19972
825,0,3101295
864,0,CA. 2343
865,0,233866
868,0,PC 17590
869,0,345777
871,0,349248
873,0,695
874,0,345765
877,0,7534
878,0,349212
879,0,349217
882,0,349257
883,0,7552
884,0,C.A./SOTON 34068
885,0,SOTON/OQ 392076
886,0,382652
887,0,211536
889,0,W./C. 6607
862,0,28134
861,0,350026
860,0,2629
855,0,244252
826,0,368323
827,0,1601
833,0,2671
834,0,347468
835,0,2223
837,0,315097
838,0,392092
841,0,SOTON/O2 3101287
765,0,347074
842,0,S.O./P.P. 3
845,0,315090
846,0,C.A. 5547
847,0,CA. 2343
848,0,349213
849,0,248727
851,0,347082
852,0,347060
853,0,2678
844,0,2683
762,0,SOTON/O2 3101272
761,0,358585
759,0,363294
663,0,5727
664,0,349210
666,0,S.O.C. 14879
667,0,234686
668,0,312993
669,0,A/5 3536
672,0,F.C. 12750
673,0,C.A. 24580
675,0,239856
676,0,349912
677,0,342826
679,0,CA 2144
681,0,330935
683,0,6563
684,0,CA 2144
685,0,29750
686,0,SC/Paris 2123
662,0,2623
660,0,35273
659,0,29751
658,0,364849
629,0,349224
630,0,334912
632,0,347743
634,0,112052
635,0,347088
637,0,STON/O 2. 3101292
638,0,C.A. 31921
639,0,3101295
687,0,3101295
640,0,376564
643,0,347088
647,0,349231
649,0,S.O./P.P. 751
651,0,349221
653,0,8475
655,0,365226
656,0,S.O.C. 14879
657,0,349223
641,0,350050
344,0,244361
688,0,349228
694,0,2672
733,0,239855
734,0,28425
735,0,233639
736,0,54636
737,0,W./C. 6608
739,0,349201
740,0,349218
742,0,19877
744,0,376566
746,0,WE/P 5735
747,0,C.A. 2673
749,0,113773
750,0,335097
753,0,345780
754,0,349204
757,0,350042
758,0,29108
732,0,2699
730,0,STON/O2. 3101271
729,0,236853
726,0,315094
695,0,113800
696,0,248731
697,0,363592
699,0,17421
700,0,348121
703,0,2691
704,0,36864
705,0,350025
689,0,350036
706,0,250655
714,0,7545
715,0,250647
716,0,348124
719,0,36568
720,0,347062
722,0,350048
723,0,12233
724,0,250643
712,0,113028
343,0,248740
891,0,370376
237,0,26707
224,0,349234
223,0,21440
222,0,220367
84,0,113059
220,0,W/C 14208
87,0,W./C. 6608
88,0,SOTON/OQ 392086
218,0,243847
90,0,343275
215,0,367229
91,0,343276
214,0,250646
213,0,A/5 21174
92,0,347466
226,0,PP 4348
93,0,W.E.P. 5734
211,0,SOTON/O.Q. 3101311
95,0,364500
96,0,374910
207,0,3101278
206,0,347054
97,0,PC 17754
204,0,2628
203,0,3101264
202,0,CA. 2343
100,0,244367
101,0,349245
201,0,345770
200,0,248747
102,0,349215
94,0,C.A. 2315
103,0,35281
228,0,A/5 21173
81,0,345767
64,0,347088
65,0,PC 17605
255,0,370129
254,0,A/5. 3336
253,0,113514
252,0,347054
68,0,S.P. 3464
251,0,362316
250,0,244252
70,0,315151
247,0,347071
246,0,19928
71,0,C.A. 33111
245,0,2694
229,0,236171
244,0,STON/O 2. 3101275
241,0,2665
240,0,SCO/W 1585
239,0,28665
72,0,CA 2144
73,0,S.O.C. 14879
74,0,2680
236,0,W./C. 6609
235,0,C.A. 29566
76,0,348123
77,0,349208
233,0,237442
78,0,374746
232,0,347067
230,0,4133
243,0,W./C. 14263
63,0,36973
104,0,7540
106,0,349207
165,0,3101295
164,0,315093
163,0,347068
123,0,237736
161,0,371362
160,0,CA. 2343
159,0,315037
158,0,SOTON/OQ 392090
125,0,35281
156,0,PC 17597
155,0,Fa 265302
127,0,370372
154,0,A/5. 851
153,0,A.5. 11206
122,0,A4. 54510
151,0,S.O.P. 1166
149,0,230080
148,0,W./C. 6608
130,0,347061
131,0,349241
146,0,C.A. 33112
145,0,231945
132,0,SOTON/O.Q. 3101307
144,0,365222
133,0,A/5. 3337
141,0,2678
140,0,PC 17593
139,0,7534
135,0,C.A. 29178
138,0,113803
150,0,244310
105,0,3101276
121,0,S.O.C. 14879
120,0,347082
198,0,4579
197,0,368703
109,0,349249
192,0,28424
190,0,349247
189,0,364849
111,0,110465
112,0,2665
186,0,113767
113,0,324669
114,0,4136
115,0,2627
183,0,347077
182,0,SC/PARIS 2131
168,0,347088
181,0,CA. 2343
180,0,LINE
179,0,250653
178,0,PC 17595
177,0,4133
176,0,350404
175,0,17764
174,0,STON/O 2. 3101280
117,0,370369
118,0,11668
119,0,PC 17558
172,0,382652
171,0,111240
170,0,1601
169,0,PC 17318
116,0,STON/O 2. 3101294
61,0,2669
136,0,SC/PARIS 2133
298,0,113781
14,0,347082
309,0,P/PP 3381
13,0,A/5. 2151
283,0,345778
34,0,C.A. 24579
297,0,2693
282,0,347464
296,0,PC 17612
281,0,336439
261,0,384461
43,0,349253
313,0,250651
279,0,382652
46,0,S.C./A.4. 23567
327,0,345364
38,0,A./5. 2152
325,0,CA. 2343
49,0,2662
42,0,11668
35,0,PC 17604
293,0,SC/Paris 2163
19,0,345763
294,0,349236
318,0,29011
288,0,349206
36,0,113789
17,0,382652
285,0,113056
295,0,349233
39,0,345764
315,0,F.C.C. 13529
314,0,349243
321,0,A/5 21172
41,0,7546
322,0,349219
15,0,350406
286,0,349239
50,0,349237
47,0,370371
278,0,239853
337,0,113776
271,0,113798
6,0,330877
5,0,373450
305,0,A/5 2466
58,0,2697
267,0,3101295
266,0,C.A. 17248
265,0,382649
25,0,349909
264,0,112059
30,0,349216
263,0,110413
28,0,19950
27,0,2631
340,0,113784
60,0,CA 2144
51,0,3101295
7,0,17463
336,0,349225
333,0,PC 17582
303,0,LINE
277,0,347073
52,0,A/4. 39886
334,0,345764
21,0,239865
55,0,113509
274,0,PC 17596
8,0,349909
332,0,113043
31,0,PC 17601
708,1,PC 17476
710,1,2661
856,1,392091
711,1,PC 17482
850,1,17453
707,1,223596
709,1,113781
858,1,113055
22,1,248698
854,1,PC 17592
23,1,330923
713,1,19996
857,1,36928
24,1,113788
872,1,11751
20,1,2649
11,1,PP 9549
10,1,237736
128,1,C 17369
9,1,347742
129,1,2668
880,1,11767
876,1,2667
881,1,230433
4,1,113803
134,1,228414
680,1,PC 17755
3,1,STON/O2. 3101282
888,1,112053
2,1,PC 17599
682,1,PC 17572
859,1,2666
690,1,24160
692,1,349256
863,1,17466
18,1,244373
866,1,236852
867,1,SC/PARIS 2149
702,1,PC 17475
701,1,PC 17757
691,1,17474
16,1,248706
870,1,347742
12,1,113783
124,1,27267
875,1,P/PP 3381
126,1,2651
693,1,1601
698,1,35852
717,1,PC 17757
62,1,113572
718,1,34218
678,1,4138
810,1,113806
775,1,29105
75,1,1601
48,1,14311
79,1,248738
80,1,364516
45,1,330958
44,1,SC/Paris 2123
82,1,345779
766,1,13502
83,1,330932
764,1,113760
763,1,2663
821,1,12749
778,1,364516
53,1,PC 17572
780,1,24160
781,1,2687
797,1,17465
798,1,349244
66,1,2661
789,1,C.A. 2315
67,1,C.A. 29395
787,1,3101265
59,1,C.A. 34651
85,1,SO/C 14885
69,1,3101281
802,1,C.A. 31921
803,1,113760
804,1,2625
805,1,347089
56,1,19947
782,1,17474
54,1,2926
57,1,C.A. 31026
26,1,347077
760,1,110152
86,1,3101278
99,1,231919
839,1,1601
840,1,11774
731,1,24160
33,1,335677
32,1,PC 17569
843,1,113798
728,1,36866
727,1,31027
107,1,343120
725,1,113806
108,1,312991
110,1,371110
721,1,248727
29,1,330959
738,1,PC 17755
98,1,PC 17759
836,1,PC 17756
37,1,2677
824,1,392096
756,1,250649
755,1,220845
89,1,19950
752,1,392096
40,1,2651
751,1,29103
822,1,315098
828,1,S.C./PARIS 2079
748,1,250648
830,1,113572
831,1,2659
745,1,STON/O 2. 3101288
832,1,29106
743,1,PC 17608
741,1,16988
829,1,367228
342,1,19950
616,1,220845
674,1,244270
448,1,113794
447,1,250644
890,1,111369
445,1,65306
444,1,230434
280,1,C.A. 2673
441,1,F.C.C. 13529
438,1,29106
436,1,113760
284,1,A/5. 10482
449,1,2666
433,1,SC/AH 3085
431,1,110564
430,1,SOTON/O.Q. 392078
428,1,250655
427,1,2003
287,1,345774
289,1,237798
290,1,370373
291,1,19877
292,1,11967
418,1,250652
432,1,376564
450,1,113786
276,1,13502
454,1,17453
487,1,19943
485,1,11967
484,1,4134
256,1,2650
257,1,PC 17585
480,1,3101298
258,1,110152
259,1,PC 17755
260,1,230433
262,1,347077
474,1,SC/AH Basle 541
473,1,C.A. 34651
470,1,2666
268,1,347083
269,1,PC 17582
270,1,PC 17760
272,1,LINE
461,1,19952
273,1,250644
459,1,F.C.C. 13531
458,1,17464
456,1,349240
275,1,370375
417,1,28220
415,1,STON/O 2. 3101269
413,1,19928
299,1,19988
320,1,16966
323,1,234818
371,1,11765
370,1,PC 17477
369,1,14313
368,1,2626
367,1,110813
324,1,248738
326,1,PC 17760
328,1,28551
329,1,363291
360,1,330980
359,1,330931
330,1,111361
357,1,113505
331,1,367226
335,1,PC 17611
349,1,C.A. 37671
348,1,386525
347,1,31418
346,1,248733
338,1,16966
339,1,7598
376,1,PC 17604
490,1,C.A. 37671
377,1,C 7077
317,1,244367
300,1,PC 17558
408,1,29106
301,1,9234
302,1,367226
304,1,226593
306,1,113781
401,1,STON/O 2. 3101289
400,1,240929
307,1,17421
308,1,PC 17758
310,1,PC 17485
395,1,PP 9549
394,1,35273
311,1,11767
392,1,350034
391,1,113760
390,1,SC 1748
312,1,PC 17608
388,1,27849
384,1,113789
316,1,347470
382,1,2653
381,1,PC 17757
319,1,36928
137,1,11752
249,1,11751
497,1,36947
619,1,230136
341,1,230080
613,1,367230
610,1,PC 17582
609,1,SC/Paris 2123
608,1,113804
605,1,111426
184,1,230136
185,1,315153
601,1,243847
173,1,347742
600,1,PC 17485
597,1,248727
188,1,111428
191,1,234604
592,1,36947
193,1,350046
194,1,230080
588,1,13567
195,1,PC 17610
586,1,110413
196,1,PC 17569
187,1,370365
622,1,11753
623,1,2653
628,1,13502
671,1,29750
670,1,19996
142,1,347081
143,1,STON/O2. 3101279
665,1,STON/O 2. 3101285
147,1,350043
661,1,PC 17611
152,1,113776
654,1,330919
652,1,231919
650,1,CA. 2314
648,1,13213
157,1,35851
646,1,PC 17572
645,1,2666
644,1,1601
642,1,PC 17477
162,1,C.A. 33595
636,1,237668
633,1,13214
166,1,363291
631,1,27042
167,1,113505
582,1,17421
581,1,237789
580,1,STON/O 2. 3101286
199,1,370370
538,1,PC 17761
221,1,SOTON/OQ 392089
536,1,F.C.C. 13529
534,1,2668
531,1,26360
225,1,19943
227,1,SW/PP 751
527,1,W./C. 14258
524,1,111361
231,1,36973
521,1,12749
519,1,226875
517,1,C.A. 34260
234,1,347077
514,1,PC 17603
513,1,PC 17473
511,1,382651
510,1,1601
508,1,111427
507,1,26360
238,1,C.A. 31921
505,1,110152
242,1,367230
540,1,13568
248,1,250649
541,1,WE/P 5735
544,1,2908
578,1,13507
577,1,243880
574,1,14312
573,1,PC 17474
572,1,11769
571,1,S.W./PP 752
570,1,350417
205,1,A/5 3540
208,1,2699
209,1,367231
210,1,112277
560,1,345572
559,1,110413
557,1,11755
212,1,F.C.C. 13528
555,1,347085
554,1,2620
551,1,17421
550,1,C.A. 33112
548,1,SC/PARIS 2146
547,1,2908
216,1,35273
217,1,STON/O2. 3101283
219,1,11813
446,1,33638
